FORD
tid attemp_tp tp 50lat 99lat
126 516.146 46.0041 896.277 38846.8
110 516.115 46.0581 904.861 38593
29 516.062 46.4352 905.982 38444
105 516.066 46.4253 914.752 38890.9
3 515.881 45.8154 914.309 38499
37 515.798 45.7977 909.72 38805.5
61 515.638 46.2372 904.261 37974
17 515.565 44.8542 910.213 38939.5
33 515.423 45.0582 903.43 38646.8
120 515.307 45.4707 906.394 38926.1
124 515.293 45.5828 899.376 38705.7
65 515.064 45.9077 911.094 38686.7
116 514.796 44.9159 901.125 38453.8
41 514.761 45.8652 899.032 38419.7
19 514.738 45.2763 905.464 38999
89 514.735 45.1783 916.381 38952.8
94 514.665 45.9236 899.841 38683.5
96 514.362 44.8009 894.07 38712.2
69 514.34 45.9511 898.092 38355.8
23 514.229 45.8898 897.082 38169.5
73 514.084 46.1853 898.921 38675.6
67 514.063 46.3222 896.664 38594.8
118 514.048 45.5652 902.455 38448.7
47 513.997 45.1752 907.162 38739.8
39 513.934 45.4369 891.376 38700.5
111 513.813 45.4211 911.891 38774.9
101 513.513 45.564 899.926 38978.9
7 513.503 45.6966 904.495 38941.6
15 513.31 45.315 906.421 38759.6
113 513.113 45.6004 888.463 38605.2
91 513.087 45.9161 897.343 38291.9
112 512.989 45.3944 906.11 38983.8
104 512.835 46.1654 899.3 38731.1
93 512.827 46.1185 913.737 38163.3
122 512.77 45.2109 892.761 38390.1
25 512.281 44.9885 897.791 38752.2
9 512.18 45.7684 893.745 39090.9
53 512.131 44.8422 907.043 39013.3
49 511.55 46.0242 888.303 38280.4
79 511.545 45.0927 892.976 38597.7
55 511.522 44.9985 915.177 38970.9
98 511.442 45.7485 888.097 38167.4
127 511.358 45.1069 902.528 38854.2
81 511.125 44.4884 889.916 38916
87 511.019 45.1536 892.758 38974.7
121 510.908 44.8628 899.868 38319.6
123 510.803 45.584 899.033 38479.1
85 510.659 45.2801 897.064 38851.7
83 510.387 45.4142 890.732 38824.3
27 510.336 45.3127 895.944 38643.4
63 510.322 45.7044 905.044 38446.1
125 510.284 45.4612 897.881 39002.2
57 510.257 44.9842 892.269 38490.8
51 510.174 45.5177 903.722 38625.9
21 510.168 45.6805 898.497 38916
117 509.653 45.3184 895.15 38364.4
119 509.447 44.4085 898.09 38702.1
90 506.078 44.8233 922.268 39168.2
88 490.91 43.2934 921.807 39065.7
68 490.41 44.8137 892.339 42327.4
56 490.236 43.6114 870.804 42710
62 489.94 43.8986 848.672 43251
0 489.808 43.9946 831.886 40507.3
58 489.672 43.8208 861.316 44791.5
60 489.323 43.7846 855.566 43697.9
66 488.743 43.1414 866.863 41279.9
36 488.487 43.026 851.19 41759.1
2 488.418 43.352 831.78 44915.5
64 488.406 43.6098 872.279 40787.3
4 488.4 43.155 865.34 44265.3
8 488.123 43.9457 867.459 48231.6
6 487.931 44.1431 839.682 43203.2
70 487.584 42.6295 853.353 42243.6
52 487.569 43.5155 836.158 47793.1
28 487.355 43.9009 842.224 43912.9
18 487.289 44.163 829.867 42207.7
24 487.193 43.6233 820.035 43735.3
48 487.168 42.9974 820.499 45724
34 486.772 42.7289 826.572 46059.2
54 486.768 44.1499 813.941 41796.6
50 486.67 43.6153 651.994 44049.6
84 486.598 43.7695 933.841 39050.7
16 486.453 43.0511 787.606 47582.1
10 486.32 43.973 809.646 41886.3
38 486.252 43.5974 833.286 44500
44 486.093 43.9331 791.653 49103.5
20 486.04 43.802 800.933 43094.4
72 486.018 43.5084 890.578 41203.4
14 485.988 43.4862 812.977 41880.2
30 485.939 44.2593 764.447 45540.4
22 485.93 44.1516 811.514 45927
42 485.866 44.6851 786.337 41129.2
40 485.732 43.1913 843.788 47624.8
46 485.654 43.3252 773.248 41945.2
26 485.647 43.6208 834.623 46141.1
80 485.61 44.0254 910.59 39337.9
12 485.528 43.6538 761.694 44508.2
76 485.397 44.3119 893.955 42199.6
86 485.241 43.2205 932.854 39313.3
32 485.106 43.8488 796.239 41530.4
78 484.782 43.7806 901.354 40252.7
82 484.53 44.4556 919.953 39385.8
74 484.473 43.2053 861.386 41721.6
64646.6 5750.43 651.994 933.841 881.202 37880.1 49103.5 40248.9

FORD
tid attemp_tp tp 50lat 99lat
3 16641.4 1804.26 135.675 8039.56
1 14922.7 1618.81 146.987 9874.14
2 10996.9 1578.83 131.317 9035.97
0 32772.2 7420.95 109.035 9916.59
75333.3 12422.9 109.035 146.987 130.754 8039.56 9916.59 9216.57

FORD
tid attemp_tp tp 50lat 99lat
4 13387.1 1310.46 177.95 14431.4
7 13334.6 1323.86 176.009 14794
6 13128.1 1324.23 181.317 14633
3 12826.3 1265.19 183.76 14429.8
5 12813.3 1289.28 185.99 14490.6
1 12370.7 1224.45 188.469 15016.3
2 40862.6 8288.57 118.25 13916.8
0 35212.7 8953.18 97.272 15184.6
153935 24979.2 97.272 188.469 163.627 13916.8 15184.6 14612.1

FORD
tid attemp_tp tp 50lat 99lat
11 5941.99 572.036 368.795 31909.3
13 5936.21 575.397 368.591 31433.8
7 30702.6 2931.17 358.111 31224.3
10 5912.14 567.861 359.874 31425.2
12 5897.93 568.443 358.487 31840.8
3 29637.3 2849.03 365.749 31796.2
9 5891.42 571.291 358.221 31576.8
14 5887.18 566.052 363.849 32039.1
15 5855.6 559.619 361.88 32310.6
5 28122.3 2752.9 367.455 32079.3
1 27749.6 2674.78 369.892 32851.7
0 20402.2 2164.88 285.67 41660.1
2 18550.5 2032.95 256.16 48359.8
4 16701.1 1830.1 256.452 38744.6
8 5076.46 500.031 387.725 34616.9
6 16242 1776.55 293.729 35015.1
234507 23493.1 256.16 387.725 342.54 31224.3 48359.8 34305.2

FORD
tid attemp_tp tp 50lat 99lat
5 5344.78 499.737 1534.53 85182.8
28 1995.62 182.02 1487.17 83419.8
13 5262.89 485.133 1518.91 84620.1
31 1982.8 178.531 1499.43 85364.1
1 5248.55 481.239 1531.42 85074.3
11 5229.93 480.84 1537.35 83501.6
3 5198.02 473.124 1544.73 83999.8
29 1970.52 182.372 1514.36 83184.1
19 1959.86 180.405 1455.72 84359.3
17 1956.3 177.319 1521.23 83750.9
15 5069.93 461.921 1493.52 84141.8
23 1955.61 181.382 1506.35 84641.7
25 1953.4 179.635 1512.63 85004.4
