FORD
tid attemp_tp tp 50lat 99lat
5 5522.52 1679.73 193.086 2387.62
9 5454.27 1639.44 188.587 2111.42
7 5446.56 1641.05 190.649 2137.83
15 5426.74 1632.91 191.355 2319.78
2 5414.41 1633.85 194.767 2204.38
14 5413.93 1622.45 194.655 2313.87
4 5404.61 1629.38 196.082 2597.99
10 5380.21 1634.08 194.95 2054.31
6 5374.79 1648.77 194.922 2549.03
8 5374.04 1641.23 195.46 2642.54
0 5333.15 1646.34 194.069 2525.2
12 5319.88 1647.99 193.111 2263.86
1 4221.94 2444.59 159.155 2832.44
3 4194.22 1969.77 192.039 3522.87
84343.7 27466.8 159.155 196.082 191.042 2054.31 3522.87 2452.81

FORD
tid attemp_tp tp 50lat 99lat
13 4624.03 1209.83 246.397 1735.36
14 4591.9 1171.03 247.354 1766.24
5 4591.24 1194.27 249.205 1744.26
11 4574.93 1187.01 243.917 1844.81
10 4553.25 1184.85 241.857 1721
3 4553.21 1166.26 240.713 1844.24
15 4551.54 1161.01 243.027 1715.27
8 4541.41 1181.31 245.807 1733.32
6 4538.69 1176.07 245.851 1790.74
1 4534.18 1176.35 246.394 1734
9 4523.79 1155.56 238.85 1721.11
12 4512.9 1168.75 244.236 1866.02
7 4512.67 1162.1 244.408 1747.45
0 3960.17 1410.93 192.465 2761.4
2 3828.51 1491.74 173.085 4169.6
4 3734.55 1276.02 224.109 3913.63
70727 19473.1 173.085 249.205 235.48 1715.27 4169.6 2113.03

FORD
tid attemp_tp tp 50lat 99lat
11 2989.17 855.8 407.958 14631.7
13 2988.2 850.621 410.756 10840.4
4 2980.35 846.181 412.123 7039.45
2 2980.19 836.839 405.082 8371.26
15 2976.2 832.027 403.117 8891.43
14 2972.04 835.322 407.144 9757.64
6 2967.28 848.94 406.367 13907.5
8 2965.82 841.521 403.914 12817.9
10 2962.92 828.018 404.639 8506.65
9 2957.92 832.831 401.175 13104.1
12 2939.85 823.158 401.653 12802.7
0 2935.03 825.273 407.204 11913.8
1 2549.81 737.609 399.393 9446.29
7 2536.57 730.025 391.903 8247.08
3 2532.38 749.889 356.745 9167.3
5 2528.55 769.084 359.344 6944.63
45762.3 13043.1 356.745 412.123 398.657 6944.63 14631.7 10399.4

