FORD
tid attemp_tp tp 50lat 99lat
3 5.10426e+08 6.26134e+07 221.21 652.989
15 1.05453e+08 1.28949e+07 218.784 636.931
14 2.02218e+07 2.50356e+06 224.711 647.957
28 69578.5 8757.84 219.452 636.885
22 68898.7 9099.93 215.607 635.372
16 68312.2 9285.13 214.466 636.324
2 328275 77275.7 87.962 1126.24
4 319807 67087.9 134.295 996.963
0 308880 75546.4 83.474 1220.75
6.39019e+08 7.84742e+07 83.474 224.711 192.419 632.099 1220.75 684.681

FORD
tid attemp_tp tp 50lat 99lat
5 44166.1 37665.7 25.605 37.006
7 43466.8 37098.6 26.008 37.342
3 145122 123830 26.273 38.176
1 141165 120423 26.513 38.738
2 84010.6 71769.3 27.009 107.788
6 35199.9 30022.9 27.331 109.607
4 34789.3 29711.1 27.312 112.474
0 73061.5 62366.8 27.501 107.651
600980 512888 25.605 27.501 26.694 37.006 112.474 73.5978

FORD
tid attemp_tp tp 50lat 99lat
13 47887 29676.7 28.034 43.098
11 47644 29489.5 28.161 43.339
15 47444.9 29417.1 28.233 43.785
3 199677 124002 27.953 49.335
7 196571 121764 28.112 50.355
5 195140 121155 28.16 49.481
9 46983.5 29181.8 28.354 46.67
1 181799 113200 28.635 48.813
10 46314.4 28732.4 28.37 66.503
14 45447.5 28369.9 29.359 45.585
12 45294.5 28316 29.528 45.279
8 39176.7 24474.8 29.498 130.727
0 91699.9 60179 28.125 153
6 89458.4 57240.8 28.699 144.616
2 85153.3 56587.8 28.5 143.484
4 83087.8 54788.9 28.674 146.311
1.48878e+06 936574 27.953 29.528 28.5247 43.098 153 78.1488

FORD
tid attemp_tp tp 50lat 99lat
25 47777 7748.91 44.545 108.335
27 47555.5 7737.71 44.649 108.493
15 445963 72816.4 44.711 108.339
11 430783 70698 44.686 108.899
17 47160.1 7759.3 44.904 109.394
19 47073.1 7758.03 45.16 108.937
21 47022.4 7780.61 44.913 109.322
31 46976.7 7794.76 45.037 108.846
13 406959 67510.8 44.795 108.572
23 46847.5 7798.47 45.039 109.193
29 46708.1 7806.69 45.106 109.779
20 46002.5 7888.04 45.297 110.481
1 344888 59214.5 43.75 115.424
12 339672 58227.6 45.234 110.28
14 338336 58076.5 44.95 111.166
28 45874.1 7841.26 45.288 110.493
30 45833.4 7866.34 45.376 110.629
22 45819.6 7903.29 45.178 110.23
3 325501 56922.6 42.687 122.03
24 45517.3 7899.94 45.323 110.553
18 45452.5 7890.74 45.369 110.916
9 314070 53328.2 45.09 118.968
16 45313.6 7921.32 45.36 110.989
26 45116.4 7929.58 45.508 111.361
7 276576 49531.2 42.703 127.095
