FORD
tid attemp_tp tp 50lat 99lat
117 10657.6 6928.24 57.858 459.149
93 10657.1 6923.13 57.885 457.955
45 10656.9 6928.4 57.912 458.215
19 10655.1 6931.04 57.881 455.811
75 10656.3 6934.39 57.716 458.712
35 10655.6 6924.09 57.867 461.448
15 10654 6920.78 57.942 457.065
29 10653.3 6921.51 57.837 458.362
55 10653.9 6926.39 57.819 460.341
85 10652.1 6920.83 57.819 458.57
113 10653.5 6934.97 57.878 458.439
111 10651.7 6928.88 57.845 461.581
31 10651.2 6923.02 57.84 460.059
9 10651.1 6925.88 57.799 458.164
41 10651.3 6925.16 57.848 460.405
97 10650.1 6928.95 57.78 459.512
21 10648 6932.19 57.834 460.142
11 10648.5 6917.23 57.852 460.812
25 10648.5 6924.23 57.846 461.544
125 10646 6925.08 57.854 459.342
107 10645.1 6923.15 57.869 461.64
109 10644.4 6934.29 57.837 458.48
83 10644.7 6924.03 57.883 460.272
43 10643.7 6916.53 57.917 458.583
51 10643.5 6930.94 57.832 457.831
47 10643.2 6915.18 57.902 459.041
17 10642.7 6924.46 57.881 458.701
79 10642.6 6922.29 57.843 461.915
73 10642.3 6926.27 57.808 459.38
105 10640.7 6916.5 57.9 459.75
95 10639.7 6920.13 57.897 458.573
121 10640.5 6923.37 57.904 455.598
127 10637.3 6912.72 57.903 459.128
49 10638.2 6918.58 57.956 455.882
18 10636.2 6926.03 58.074 461.019
77 10633.4 6914.71 57.824 462.729
24 10632.9 6916.74 58.073 458.153
114 10629.3 6917.16 58.184 459.748
118 10627.7 6906.37 58.037 459.422
82 10627.4 6921.34 58.083 460.385
48 10626.8 6912.42 58.086 460.579
46 10627 6910.33 58.069 459.927
54 10626.9 6909.3 58.082 457.72
34 10626.3 6912.35 58.112 459.161
20 10625.9 6905.27 58.074 461.328
40 10625.7 6907.34 58.096 457.85
10 10625.6 6915.17 58.035 459.311
106 10625.2 6906.18 58.076 461.303
90 10623.7 6908.76 58.115 461.244
12 10623.9 6906.58 58.126 457.42
126 10623.4 6904.54 58.105 461.011
122 10622.2 6901 58.146 457.285
36 10622 6913.46 58.109 460.907
22 10621.6 6905.02 58.061 459.87
100 10621.2 6909.54 58.091 460.73
67 10618.9 6910.36 57.528 466.59
26 10620.4 6899.2 58.153 462.481
80 10619.7 6913.78 58.125 461.249
61 10618 6908.87 57.603 462.33
88 10620.2 6902.6 58.13 458.24
14 10619.9 6910.29 58.15 459.267
92 10618.5 6899.13 58.104 461.89
16 10620 6905.75 58.183 459.668
112 10618.1 6894.02 58.105 460.378
120 10618.2 6907.82 58.225 458.785
69 10617.2 6903.16 57.477 462.832
124 10618.9 6899.86 58.092 457.772
108 10618.1 6903.02 58.15 460.142
50 10617.9 6901.28 58.117 461.293
30 10618.6 6906.84 58.17 463.423
84 10616.4 6896.6 58.166 461.476
94 10617 6895.28 58.073 462.095
63 10615.2 6904.91 57.55 463.64
65 10615 6902.8 57.529 465.837
71 10614.9 6897.16 57.582 466.056
102 10616.4 6895.77 58.096 461.451
28 10615.3 6906.42 58.198 459.075
86 10615.6 6898.99 58.107 463.391
