FORD
tid attemp_tp tp 50lat 99lat
1 39737 34316.1 184.505 691.919
684670 586645 182.786 185.018 183.765 247.318 691.919 276.036

FORD
tid attemp_tp tp 50lat 99lat
1 115967 115960 59.585 110.645
14 115802 115795 59.775 109.366
3 115783 115776 59.665 112.252
8 115744 115737 59.595 111.364
12 115658 115651 59.712 110.721
11 115558 115551 59.851 110.876
5 115668 115661 59.749 111.28
13 115609 115602 59.827 112.505
2 115556 115549 59.86 110.476
10 115607 115600 59.688 111.68
7 115554 115547 59.845 111.584
4 115535 115528 59.831 111.517
0 115602 115595 59.841 111.783
15 115511 115504 59.978 111.347
6 115512 115505 59.999 110.934
9 115485 115478 59.997 110.997
1.85015e+06 1.85004e+06 59.585 59.999 59.7999 109.366 112.505 111.208

FORD
tid attemp_tp tp 50lat 99lat
0 115803 115796 59.838 109.897
5 115765 115759 59.721 110.009
1 115704 115697 59.623 110.263
3 115724 115717 59.576 110.386
2 115754 115747 59.532 111.844
6 115607 115600 59.785 110.834
8 115637 115630 59.7 109.449
4 115744 115737 59.743 111.39
9 115610 115603 59.746 111.618
12 115612 115605 59.936 110.2
15 115588 115581 59.847 111.665
7 115661 115654 59.688 112.209
13 115513 115506 59.917 110.391
10 115708 115702 59.568 111.804
11 115514 115507 59.937 110.382
14 115556 115549 59.943 110.917
1.8505e+06 1.85039e+06 59.532 59.943 59.7562 109.449 112.209 110.829

FORD
tid attemp_tp tp 50lat 99lat
15 75535.6 73009 55.496 305.886
3 75546.8 73022.8 55.463 305.383
5 75540 73077.4 55.594 306.567
7 75514.5 72888.8 55.653 305.511
9 75509 72984.8 55.74 306.82
4 75359.4 72886.9 55.67 305.28
1 75341.3 72876.2 55.626 306.588
6 75403.6 72928.9 55.783 306.643
10 75388.7 72839.1 55.681 305.907
12 75287.5 72756.4 55.763 306.346
14 75337 72853.1 55.87 306.136
8 75293.4 72806.5 55.573 305.999
11 75286.7 72791.7 55.626 306.946
2 75265.5 72796.8 55.788 306.527
0 75260.4 72777.6 55.68 308.021
13 75288.2 72781.1 55.491 306.779
1.20616e+06 1.16608e+06 55.463 55.87 55.6561 305.28 308.021 306.334

FORD
tid attemp_tp tp 50lat 99lat
13 59055.6 54589.9 71.876 303.284
3 58736.5 54339.5 72.645 303.061
4 58625.3 54244.8 72.091 303.8
5 58601.3 54222.1 72.474 304.654
7 58443.5 54133.3 73.492 304.491
15 58250 53867.3 73.559 303.736
8 58312.2 54002.9 73.272 304.083
2 58273.5 53924 72.858 303.624
0 58202.9 53927.3 72.296 304.984
9 58236.8 53888.2 73.57 304.326
11 58206.3 53852.5 73.908 304.808
12 58228.1 53815.5 73.195 303.658
10 58175.2 53856.3 72.823 304.447
14 58137.3 53806 73.319 303.729
6 58137.6 53854 72.945 303.619
1 57514.5 53345.3 67.588 326.688
933137 863669 67.588 73.908 72.6194 303.061 326.688 305.437

FORD
tid attemp_tp tp 50lat 99lat
11 52770.4 46697.6 110.15 291.426
13 51932.3 45938.8 120.995 292.315
7 51706.2 45732 123.541 291.417
3 51489.8 45537.1 125.83 292.9
15 51176.7 45264.8 125.696 292.649
9 50959.8 45055.1 126.755 292.784
14 50769.9 44775 127.013 291.186
4 50651.1 44688.4 126.329 292.936
2 50624.7 44760.8 127.067 292.91
12 50407.7 44580.6 128.767 292.081
5 50406.3 44535.5 127.782 292.73
8 50347.7 44506.9 130.337 291.958
0 50231.3 44372.8 128.897 293.643
6 50167.5 44365.6 127.626 292.848
10 50094 44333.7 136.511 291.425
1 49782.6 44147.7 141.084 408.362
813518 719292 110.15 141.084 127.149 291.186 408.362 299.598

FORD
tid attemp_tp tp 50lat 99lat
5 59296.8 50327.6 73.48 272.852
6 56201.5 47487.4 85.611 273.505
13 54916.7 46176.7 89.157 272.638
4 54740.3 46154.3 92.683 273.396
3 54710.9 45990.5 89.44 273.603
8 54579.7 45981.2 89.451 272.948
9 54169.7 45617.9 94.249 273.768
12 53749.5 45320 94.828 273.495
10 53063.3 44660.7 98.084 273.42
