FORD
tid attemp_tp tp 50lat 99lat
2 62166.3 62164.5 97.99 626.379
0 128161 128156 103.119 623.904
809216 809190 85.812 103.119 94.4048 143.979 626.379 385.88

FORD
tid attemp_tp tp 50lat 99lat
7 73171.5 73167.8 105.612 171.296
3 463739 463714 104.823 179.929
1 431081 431053 106.286 179.825
5 70581.5 70578.7 108.633 181.431
6 69713.2 69709.6 109.927 180.537
4 56835.9 56832.8 112.543 683.534
2 149742 149733 110.59 710.915
0 148405 148396 112.478 717.503
1.46327e+06 1.46319e+06 104.823 112.543 108.861 171.296 717.503 375.621

FORD
tid attemp_tp tp 50lat 99lat
8 57492.2 57487.7 138.312 217.935
9 56750.7 56745.5 139.776 224.014
13 56649 56644.2 140.148 225.036
11 56368.5 56363.6 140.895 225.916
5 231258 231237 141.087 256.071
15 55357.8 55352.4 143.687 228.194
3 224693 224669 142.566 250.397
7 213467 213447 144.984 243.042
10 53921.9 53916.8 148.107 229.928
12 53760.9 53756.1 148.326 232.292
14 52876.1 52870.5 151.638 235.702
1 185783 185762 150.849 252.972
0 133344 133327 127.023 913.932
6 116295 116282 150.854 902.918
2 110349 110335 142.772 913.741
4 106329 106316 147.328 952.097
1.7647e+06 1.76451e+06 127.023 151.638 143.647 217.935 952.097 406.512

FORD
tid attemp_tp tp 50lat 99lat
31 34171.7 34165 225.666 414.427
18 33143.1 33137.1 235.01 413.136
19 33105.3 33099.5 235.588 418.526
7 150530 150502 234.078 454.728
15 144465 144436 237.651 422.668
17 32447.4 32441.9 240.929 422.927
11 137661 137636 240.929 424.04
23 32412.7 32406.4 240.001 426.252
21 32088.1 32081.9 243.863 428.815
25 31802.6 31796.4 248.14 429.017
29 31775 31769.3 247.901 428.825
28 31649.7 31644 248.106 429.175
27 31562.7 31556.5 248.34 426.092
5 123212 123185 247.525 489.455
24 31468.3 31462.5 250.178 427.271
20 31413.4 31407.7 249.134 434.333
3 121232 121208 245.376 514.974
26 31339.8 31333.6 251.107 432.637
14 118913 118889 251.734 433.149
13 118745 118720 251.474 429.412
12 117049 117026 254.045 437.543
16 30847 30840.5 255.98 438.327
30 30806.1 30800.1 257.495 436.358
1 111827 111802 251.964 482.844
22 30675.4 30670 259.763 434.679
9 109475 109455 257.543 470.169
0 90869.7 90850.9 218.324 1327.83
6 83278.8 83261.9 247.277 1348.97
10 83163.3 83146.7 268.54 882.284
4 83014.4 82996.7 226.296 1463.92
2 81635.9 81615.8 224.968 1462.06
8 78911.5 78894.6 261.979 1263.27
2.26469e+06 2.26424e+06 218.324 268.54 245.528 413.136 1463.92 598.379

FORD
tid attemp_tp tp 50lat 99lat
5 34588.3 34588.2 28.283 36.133
7 34521.8 34521.6 28.406 35.581
3 113634 113634 28.36 37.102
1 109326 109325 28.702 36.804
6 28875.4 28875.4 29.616 137.708
4 28515 28514.8 29.752 144.229
2 61393 61392.5 29.642 137.469
0 55190 55189.3 29.667 136.801
466044 466040 28.283 29.752 29.0535 35.581 144.229 87.7284

FORD
tid attemp_tp tp 50lat 99lat
15 30799 30798.8 31.622 43.014
13 30714.3 30714.1 31.599 56.384
9 30661.4 30660.9 31.617 58.727
11 30450.3 30450 31.834 59.006
5 92968.2 92966.9 31.821 61.239
7 91649.4 91648.8 31.999 60.778
3 91397.8 91396.3 31.999 59.696
1 90765.9 90765 32.125 56.247
14 27790.3 27790.1 32.928 102.924
0 65022.8 65022.4 31.491 151.604
12 26025.8 26025.5 33.316 155.602
2 61163.7 61162.6 32.014 162.714
4 61114 61113.2 31.644 172.815
6 59214.2 59213.4 32.25 174.46
8 25482.5 25482.2 32.951 166.41
10 25415.7 25415.3 33.27 166.809
840635 840626 31.491 33.316 32.155 43.014 174.46 106.777

FORD
tid attemp_tp tp 50lat 99lat
27 21348.5 21348.1 42.518 88.146
29 21149.2 21148.8 43.036 88.679
17 20863.8 20863.5 43.302 96.87
5 73129.3 73127.2 43.068 105.744
31 20795.2 20794.7 43.875 89.609
7 71745.2 71743 43.307 105.434
13 70522.2 70520.7 43.545 104.991
9 70343.1 70341.1 43.692 105.198
28 20570.8 20570.3 44.287 89.299
20 20558 20557.6 44.369 89.688
19 20532.1 20531.7 44.53 90.612
15 69443.3 69441.6 43.774 104.24
21 20469.8 20469.5 44.813 89.87
23 20444.8 20444.3 44.931 88.353
1 68637 68635.3 43.997 104.5
26 20389.1 20388.7 44.821 90.717
